--
1,4
1.5,4
1.75,2
2,0
2,-5
2.5,-5
2.5,-8
3,4
3.25,2
3.5,4
3.5,0
3.75,5
4,7
4,4
--
1,0
1.5,2
2,4
3,0
3,4
3,7
4,0
4,-8
4,-5
--
1,0
1,4
1.5,4
1.5,7
1.75,4
2,2
2.5,0
3,-3
3,0
3.5,2
4,-5
--
1,0
1.25,2
1.5,4
2,0
2,4
2,7
4,-8
4,-5
4,0
--
1,4
1,7
1.5,0
2,4
2,7
2.5,0
3,-5
3,-8
3.5,-5
4,0
4.5,2
--
1,-8
1,0
1.25,-3
1.5,-3
1.5,-8
1.75,-5
2,-5
2,0
2.25,2
2.5,-5
2.5,0
2.5,4
--
1,4
1.25,5
1.5,2
1.75,4
2,0
2.25,2
2.5,-1
2.75,0
3,-3
3.25,-1
3.5,-5
3.75,-3
4,-7
4.25,-5
4.5,-8
4.75,-7
--
1,4
1,7
1.5,0
2,4
2,7
2.5,0
3,0
3,4
3.5,-5
4,0
4,4
4.5,-5
--
1,4
1.25,2
1.5,4
1.75,7
2,12
2.25,11
2.5,12
2.75,7
3,16
3.25,17
3.5,16
3.75,12
4,7
4.25,9
4.5,7
4.75,4
--
1,0
1.25,4
1.5,7
1.75,12
2,4
2.25,7
2.5,12
2.75,16
3,7
3.25,12
3.5,16
3.75,19
4,12
4.25,16
4.5,19
4.75,24
--
1,24
1.25,19
1.5,16
1.75,12
2,19
2.25,16
2.5,12
2.75,7
3,16
3.25,12
3.5,7
3.75,4
4,12
4.25,7
4.5,4
4.75,0
